campanha,servico,plataforma,inicio,fim,investimento,cliques,impressoes,ctr,leads,cpl,conversoes,cpa,receita,roi,automacoes_executadas,posts_publicados,engajamento
Lançamento Produto - Facebook,Tráfego Pago,Facebook Ads,2024-02-13,2024-03-26,3038.78,61224,351923,17.4,16663,0.18,10030,0.3,14744710.79,485118.11,0,0,0.0
Anúncio Institucional - Facebook,Tráfego Pago,Facebook Ads,2023-08-21,2023-08-31,5462.31,26974,470185,5.74,4894,1.12,3451,1.58,2530257.57,46222.12,0,0,0.0
Promoção Verão - Email,Copywriting,Email Marketing,2024-11-15,2025-01-10,1949.19,82363,435202,18.93,37263,0.05,10773,0.18,1858439.65,95244.2,0,0,8.4
Remarketing - TikTok,Automações,TikTok Ads,2023-11-12,2023-12-07,3856.22,45141,235723,19.15,5891,0.65,4560,0.85,8336131.26,216073.64,10,0,0.0
Black Friday - Email,Copywriting,Email Marketing,2023-03-14,2023-04-11,7385.88,35692,441875,8.08,8304,0.89,1696,4.35,1673470.7,22557.7,0,0,14.88
Campanha de Engajamento - WhatsApp,Design,WhatsApp,2025-03-08,2025-03-19,9140.27,40574,473285,8.57,19862,0.46,7940,1.15,3038077.51,33138.38,0,0,5.12
Remarketing - Facebook,Automações,Facebook Ads,2025-02-01,2025-02-25,5107.63,5500,96796,5.68,141,36.22,63,81.07,4356.46,-14.71,50,0,0.0
Campanha de Engajamento - Email,Automações,Email Marketing,2023-11-23,2023-12-04,1303.86,90593,468051,19.36,2987,0.44,2826,0.46,4013436.42,307711.91,49,0,0.0
Remarketing - Google,Copywriting,Google Ads,2025-02-24,2025-03-09,4695.71,334,23201,1.44,46,102.08,23,204.16,27202.61,479.31,0,0,4.38
Captação de Leads - Google,Tráfego Pago,Google Ads,2023-04-06,2023-04-28,9478.05,2457,23247,10.57,365,25.97,129,73.47,226332.24,2287.96,0,0,0.0
Lançamento Produto - Facebook,Social Media,Facebook Ads,2024-12-11,2024-12-21,9267.91,23164,361115,6.41,3242,2.86,2085,4.45,1863239.3,20004.2,0,17,4.8
Black Friday - Facebook,Design,Facebook Ads,2024-09-22,2024-11-05,5022.35,1492,32396,4.61,461,10.89,348,14.43,346233.1,6793.85,0,0,10.45
Promoção Relâmpago - TikTok,Tráfego Pago,TikTok Ads,2025-05-20,2025-06-18,1693.23,2261,240275,0.94,179,9.46,164,10.32,234829.39,13768.72,0,0,0.0
Captação de Leads - Google,Automações,Google Ads,2023-06-05,2023-06-20,478.08,6920,229896,3.01,2209,0.22,523,0.91,361213.38,75455.01,30,0,0.0
Promoção Relâmpago - Facebook,Design,Facebook Ads,2023-04-19,2023-05-10,3873.55,20322,206295,9.85,4832,0.8,4568,0.85,8628905.45,222664.79,0,0,7.85
Promoção Relâmpago - Google,Social Media,Google Ads,2025-04-05,2025-04-23,2943.5,1632,37789,4.32,366,8.04,54,54.51,32708.98,1011.23,0,29,10.55
Captação de Leads - TikTok,Design,TikTok Ads,2025-03-11,2025-04-22,5590.85,1347,186136,0.72,644,8.68,58,96.39,47787.74,754.75,0,0,14.67
Anúncio Institucional - Email,Design,Email Marketing,2024-05-09,2024-05-30,8577.06,10266,407396,2.52,3977,2.16,415,20.67,422663.12,4827.83,0,0,9.51
Black Friday - WhatsApp,Social Media,WhatsApp,2025-02-23,2025-03-06,7293.92,16604,129071,12.86,545,13.38,322,22.65,231441.59,3073.08,0,6,3.07
Campanha de Conversão - Google,Design,Google Ads,2023-11-29,2023-12-17,8101.01,45657,478975,9.53,4639,1.75,2102,3.85,2700994.14,33241.45,0,0,4.4
Campanha de Engajamento - WhatsApp,Design,WhatsApp,2024-07-27,2024-08-15,4093.5,34027,336737,10.1,1351,3.03,939,4.36,68755.72,1579.63,0,0,13.43
Black Friday - Facebook,Design,Facebook Ads,2025-04-16,2025-05-27,5446.04,52757,414839,12.72,4322,1.26,3102,1.76,4449168.25,81595.48,0,0,9.59
Black Friday - Email,Design,Email Marketing,2025-02-07,2025-02-15,3315.32,35699,273789,13.04,7219,0.46,6593,0.5,13025226.74,392779.93,0,0,11.24
Campanha de Conversão - Email,Automações,Email Marketing,2024-09-17,2024-09-27,4443.6,57048,351791,16.22,23746,0.19,17675,0.25,11401643.26,256485.72,22,0,0.0
Remarketing - Facebook,Design,Facebook Ads,2024-02-01,2024-03-09,7344.96,44105,362415,12.17,14706,0.5,5674,1.29,7823189.18,106410.98,0,0,9.36
Promoção Verão - WhatsApp,Tráfego Pago,WhatsApp,2025-02-20,2025-03-10,1944.69,12086,157673,7.67,299,6.5,239,8.14,415248.04,21252.92,0,0,0.0
Anúncio Institucional - Facebook,Automações,Facebook Ads,2024-04-18,2024-06-09,5206.49,10515,57788,18.2,1734,3.0,1580,3.3,1845770.21,35351.33,20,0,0.0
Promoção Relâmpago - Email,Automações,Email Marketing,2025-02-02,2025-03-16,7645.57,60698,485786,12.49,2236,3.42,2141,3.57,2945085.75,38420.16,16,0,0.0
Lançamento Produto - Instagram,Social Media,Instagram Ads,2023-12-28,2024-01-22,7037.64,7595,96012,7.91,1161,6.06,152,46.3,229165.84,3156.29,0,21,7.62
Anúncio Institucional - Facebook,Automações,Facebook Ads,2025-02-13,2025-03-10,5790.03,5320,77193,6.89,812,7.13,206,28.11,353962.68,6013.31,2,0,0.0
Anúncio Institucional - Facebook,Tráfego Pago,Facebook Ads,2023-04-29,2023-05-18,6134.47,50182,400331,12.54,18628,0.33,15851,0.39,18514468.18,301710.4,0,0,0.0
Lançamento Produto - TikTok,Copywriting,TikTok Ads,2024-04-04,2024-04-19,8587.12,43243,339790,12.73,21045,0.41,3980,2.16,1019820.28,11776.16,0,0,7.26
Anúncio Institucional - Facebook,Tráfego Pago,Facebook Ads,2024-05-06,2024-05-22,6807.91,21938,131036,16.74,6807,1.0,3426,1.99,3031886.19,44434.76,0,0,0.0
Natal Antecipado - WhatsApp,Tráfego Pago,WhatsApp,2024-05-09,2024-06-28,9363.28,389,90479,0.43,39,240.08,0,0.0,0.0,-100.0,0,0,0.0
Campanha de Conversão - WhatsApp,Tráfego Pago,WhatsApp,2024-09-25,2024-10-30,3621.95,10604,60778,17.45,1624,2.23,1369,2.65,1048312.29,28843.31,0,0,0.0
Promoção Relâmpago - Instagram,Automações,Instagram Ads,2023-03-04,2023-03-18,2794.61,13589,326724,4.16,6792,0.41,5024,0.56,5571221.96,199255.97,40,0,0.0
Campanha de Engajamento - Instagram,Automações,Instagram Ads,2023-11-18,2023-12-20,8823.0,18683,119060,15.69,7940,1.11,6540,1.35,10926259.23,123738.37,19,0,0.0
Natal Antecipado - Email,Design,Email Marketing,2023-02-23,2023-04-12,1016.23,54043,375441,14.39,1951,0.52,1243,0.82,1606442.05,157978.59,0,0,3.46
Captação de Leads - Facebook,Design,Facebook Ads,2023-04-26,2023-05-10,6327.75,23648,403267,5.86,4581,1.38,522,12.12,661327.89,10351.23,0,0,14.07
Natal Antecipado - WhatsApp,Copywriting,WhatsApp,2024-06-03,2024-06-19,1350.26,37266,447260,8.33,10606,0.13,1986,0.68,2813073.21,208235.67,0,0,11.8
Black Friday - TikTok,Tráfego Pago,TikTok Ads,2024-11-29,2025-01-06,7450.12,25178,273818,9.2,6119,1.22,1601,4.65,1803733.58,24110.8,0,0,0.0
Remarketing - Email,Social Media,Email Marketing,2023-11-19,2024-01-18,6373.72,66703,414652,16.09,28688,0.22,20582,0.31,11717271.32,183737.25,0,9,2.29
Campanha de Engajamento - Facebook,Copywriting,Facebook Ads,2023-03-31,2023-04-16,951.07,11956,450855,2.65,1887,0.5,1158,0.82,1567317.34,164695.16,0,0,11.8
Campanha de Conversão - Instagram,Tráfego Pago,Instagram Ads,2024-04-16,2024-06-06,4699.64,56474,405280,13.93,20089,0.23,9957,0.47,13100236.89,278649.8,0,0,0.0
Natal Antecipado - WhatsApp,Copywriting,WhatsApp,2023-04-24,2023-05-11,413.89,66819,427037,15.65,31148,0.01,15522,0.03,24223870.17,5852631.44,0,0,11.99
Campanha de Engajamento - WhatsApp,Automações,WhatsApp,2023-03-08,2023-03-19,5882.94,26598,209175,12.72,7349,0.8,2777,2.12,5430755.43,92213.63,45,0,0.0
Black Friday - Instagram,Tráfego Pago,Instagram Ads,2023-08-28,2023-10-26,364.11,6915,275943,2.51,2637,0.14,2188,0.17,495006.66,135849.76,0,0,0.0
Remarketing - WhatsApp,Tráfego Pago,WhatsApp,2023-03-06,2023-04-24,4071.91,54447,330140,16.49,10865,0.37,10495,0.39,2608291.9,63955.74,0,0,0.0
Anúncio Institucional - Email,Design,Email Marketing,2024-04-14,2024-06-08,9692.74,24399,191101,12.77,6357,1.52,4937,1.96,8860833.51,91317.22,0,0,1.87
Campanha de Engajamento - WhatsApp,Automações,WhatsApp,2025-05-23,2025-06-11,4897.63,65394,340821,19.19,5473,0.89,4307,1.14,3602139.21,73448.62,22,0,0.0
Remarketing - Instagram,Design,Instagram Ads,2023-11-02,2023-11-19,4075.0,43077,236601,18.21,605,6.74,452,9.02,746894.81,18228.71,0,0,5.91
Remarketing - Email,Design,Email Marketing,2023-06-06,2023-06-22,5416.87,13397,191213,7.01,646,8.39,190,28.51,128280.88,2268.17,0,0,10.88
Promoção Verão - Facebook,Tráfego Pago,Facebook Ads,2024-10-13,2024-11-26,2082.8,41870,477811,8.76,7974,0.26,5957,0.35,8336796.07,400168.68,0,0,0.0
Anúncio Institucional - Email,Automações,Email Marketing,2025-02-04,2025-04-04,3226.33,644,83031,0.78,63,51.21,46,70.14,38902.2,1105.77,16,0,0.0
Promoção Relâmpago - Email,Copywriting,Email Marketing,2023-04-14,2023-05-11,8505.86,52471,372672,14.08,22405,0.38,4929,1.73,3659585.11,42924.28,0,0,10.62
Lançamento Produto - Email,Automações,Email Marketing,2023-02-12,2023-03-19,5612.12,1992,143927,1.38,235,23.88,101,55.57,107721.42,1819.44,16,0,0.0
Black Friday - WhatsApp,Design,WhatsApp,2023-11-15,2023-12-12,1478.99,1969,15271,12.89,667,2.22,317,4.67,547718.25,36933.26,0,0,2.09
Remarketing - Email,Automações,Email Marketing,2023-12-01,2023-12-12,8394.95,2291,13143,17.43,211,39.79,78,107.63,147925.68,1662.08,6,0,0.0
Promoção Verão - Google,Copywriting,Google Ads,2024-09-04,2024-10-28,8293.58,91942,489371,18.79,5206,1.59,2058,4.03,1058045.74,12657.41,0,0,3.41
Captação de Leads - Email,Design,Email Marketing,2024-11-26,2025-01-10,1412.08,39159,400046,9.79,2530,0.56,2154,0.66,364359.98,25703.07,0,0,5.86
Promoção Relâmpago - Email,Copywriting,Email Marketing,2025-03-13,2025-04-06,4080.23,30293,166129,18.23,13787,0.3,12780,0.32,13552815.03,332058.11,0,0,8.57
Campanha de Conversão - Instagram,Design,Instagram Ads,2023-11-27,2024-01-17,3710.91,13595,239067,5.69,1832,2.03,989,3.75,959368.88,25752.66,0,0,12.34
Promoção Verão - Facebook,Social Media,Facebook Ads,2025-01-28,2025-02-25,6472.55,52036,457035,11.39,15033,0.43,14469,0.45,4197138.06,64745.2,0,30,3.47
Captação de Leads - Google,Design,Google Ads,2023-04-30,2023-05-10,4594.91,55089,305042,18.06,3409,1.35,3244,1.42,5284158.79,114900.27,0,0,11.24
Promoção Verão - TikTok,Automações,TikTok Ads,2023-05-17,2023-05-28,6957.68,71948,375350,19.17,20255,0.34,19099,0.36,34317100.6,493126.2,7,0,0.0
Promoção Verão - Facebook,Automações,Facebook Ads,2024-10-16,2024-11-05,6540.62,47215,412723,11.44,10446,0.63,4562,1.43,7833271.65,119663.44,2,0,0.0
Natal Antecipado - Google,Copywriting,Google Ads,2024-05-26,2024-07-12,3991.88,52119,486672,10.71,2555,1.56,391,10.21,161055.54,3934.58,0,0,11.57
Promoção Verão - TikTok,Design,TikTok Ads,2023-01-23,2023-03-20,6651.35,14387,285069,5.05,80,83.14,69,96.4,11271.3,69.46,0,0,6.21
Captação de Leads - Google,Social Media,Google Ads,2025-04-05,2025-04-26,7074.08,2899,188889,1.53,281,25.17,58,121.97,86449.78,1122.06,0,24,14.9
Natal Antecipado - TikTok,Social Media,TikTok Ads,2024-11-15,2025-01-13,9448.34,6176,62318,9.91,2471,3.82,2130,4.44,1694338.21,17832.65,0,9,7.89
Promoção Relâmpago - Email,Copywriting,Email Marketing,2023-06-02,2023-06-27,6307.91,17485,417818,4.18,2656,2.37,834,7.56,655520.3,10292.04,0,0,1.26
Remarketing - Email,Tráfego Pago,Email Marketing,2024-10-17,2024-11-03,1944.91,6624,105737,6.26,2663,0.73,807,2.41,1536252.26,78888.35,0,0,0.0
Promoção Relâmpago - Facebook,Social Media,Facebook Ads,2024-11-23,2025-01-09,1065.46,56746,412410,13.76,1962,0.54,1577,0.68,1600605.6,150126.72,0,17,14.58
Anúncio Institucional - TikTok,Automações,TikTok Ads,2024-09-14,2024-11-05,3762.38,21899,225887,9.69,9141,0.41,5680,0.66,1762561.33,46746.98,39,0,0.0
Anúncio Institucional - Email,Copywriting,Email Marketing,2023-09-21,2023-11-12,8133.8,29059,295105,9.85,12669,0.64,2493,3.26,4382335.77,53778.09,0,0,0.99
Remarketing - Google,Automações,Google Ads,2024-01-21,2024-02-26,596.65,10550,64821,16.28,4174,0.14,929,0.64,1128570.76,189051.22,11,0,0.0
Promoção Relâmpago - WhatsApp,Social Media,WhatsApp,2023-07-19,2023-08-28,1119.66,15773,83605,18.87,4566,0.25,2945,0.38,3463029.95,309193.0,0,14,9.34
Anúncio Institucional - Google,Automações,Google Ads,2023-04-18,2023-05-27,5215.15,9782,392654,2.49,4271,1.22,3180,1.64,5325885.19,102023.34,21,0,0.0
Lançamento Produto - Google,Social Media,Google Ads,2025-04-03,2025-05-07,1804.57,2898,87328,3.32,1180,1.53,927,1.95,532607.17,29414.35,0,29,8.83
Black Friday - Instagram,Design,Instagram Ads,2024-08-20,2024-10-03,3948.06,5606,41927,13.37,25,157.92,7,564.01,6027.26,52.66,0,0,0.76
Black Friday - Google,Tráfego Pago,Google Ads,2023-09-27,2023-10-06,6740.72,18728,447680,4.18,8879,0.76,7741,0.87,3889368.99,57599.61,0,0,0.0
Captação de Leads - TikTok,Social Media,TikTok Ads,2023-04-30,2023-06-11,5782.14,2852,86882,3.28,1120,5.16,49,118.0,41259.9,613.57,0,13,12.04
Captação de Leads - WhatsApp,Social Media,WhatsApp,2024-08-01,2024-08-18,5111.7,39680,235997,16.81,1570,3.26,1017,5.03,719175.83,13969.21,0,17,0.34
Anúncio Institucional - Google,Tráfego Pago,Google Ads,2023-08-21,2023-09-29,6153.06,6234,115660,5.39,2426,2.54,2369,2.6,1720606.24,27863.42,0,0,0.0
Remarketing - Email,Automações,Email Marketing,2024-03-22,2024-05-18,6645.16,1822,46707,3.9,104,63.9,12,553.76,11621.25,74.88,4,0,0.0
Promoção Relâmpago - TikTok,Copywriting,TikTok Ads,2023-02-22,2023-03-03,4432.55,13916,218602,6.37,684,6.48,132,33.58,212688.21,4698.33,0,0,12.84
Promoção Relâmpago - WhatsApp,Automações,WhatsApp,2025-05-09,2025-06-16,5304.79,28120,420276,6.69,12541,0.42,10329,0.51,7148059.7,134647.27,33,0,0.0
Natal Antecipado - Google,Automações,Google Ads,2023-10-02,2023-11-14,5124.64,15692,490820,3.2,6724,0.76,2938,1.74,680097.37,13171.12,29,0,0.0
Campanha de Engajamento - Instagram,Social Media,Instagram Ads,2023-05-06,2023-06-21,4633.02,5252,398095,1.32,1316,3.52,55,84.24,67056.97,1347.37,0,8,12.7
Campanha de Conversão - WhatsApp,Automações,WhatsApp,2025-04-26,2025-06-12,2180.27,62141,485292,12.8,6307,0.35,1741,1.25,1639132.62,75080.26,24,0,0.0
Lançamento Produto - Google,Copywriting,Google Ads,2024-07-30,2024-09-14,5197.58,41893,303599,13.8,4545,1.14,1425,3.65,716916.93,13693.28,0,0,8.95
Lançamento Produto - TikTok,Design,TikTok Ads,2024-07-05,2024-07-24,7695.3,9346,87379,10.7,2020,3.81,383,20.09,557815.03,7148.78,0,0,11.01
Anúncio Institucional - Email,Automações,Email Marketing,2025-03-31,2025-04-14,4342.96,260,155965,0.17,23,188.82,7,620.42,11009.73,153.51,0,0,0.0
Lançamento Produto - Email,Tráfego Pago,Email Marketing,2025-05-09,2025-05-16,4409.2,18858,422152,4.47,132,33.4,121,36.44,64849.87,1370.79,0,0,0.0
Lançamento Produto - Google,Social Media,Google Ads,2025-02-15,2025-03-28,4187.19,6369,34621,18.4,2394,1.75,1511,2.77,2083712.01,49663.97,0,25,6.13
Anúncio Institucional - TikTok,Automações,TikTok Ads,2025-03-07,2025-04-06,8198.25,26151,178548,14.65,9668,0.85,4959,1.65,6270900.48,76390.72,4,0,0.0
Natal Antecipado - TikTok,Social Media,TikTok Ads,2023-10-21,2023-11-20,4051.17,11207,213832,5.24,415,9.76,168,24.11,123560.32,2949.99,0,23,4.84
Remarketing - TikTok,Automações,TikTok Ads,2025-03-22,2025-05-06,989.77,7154,90461,7.91,202,4.9,95,10.42,177871.61,17871.0,40,0,0.0
Campanha de Engajamento - Instagram,Automações,Instagram Ads,2023-10-17,2023-10-29,9852.56,28781,239765,12.0,1067,9.23,36,273.68,37028.27,275.82,45,0,0.0
Promoção Verão - Google,Copywriting,Google Ads,2023-12-11,2024-01-17,3913.76,11375,87701,12.97,628,6.23,588,6.66,1136728.1,28944.4,0,0,14.03
Campanha de Engajamento - TikTok,Design,TikTok Ads,2023-03-04,2023-04-24,6009.78,55941,341536,16.38,27956,0.21,20925,0.29,25853841.46,430096.14,0,0,10.64
Black Friday - WhatsApp,Tráfego Pago,WhatsApp,2023-06-17,2023-08-11,5604.62,2590,149459,1.73,767,7.31,755,7.42,444237.99,7826.28,0,0,0.0
Lançamento Produto - Facebook,Social Media,Facebook Ads,2024-08-29,2024-10-07,9189.69,3235,260263,1.24,519,17.71,185,49.67,95083.29,934.67,0,23,3.29
Promoção Verão - Email,Copywriting,Email Marketing,2024-01-23,2024-02-26,4708.14,16197,325457,4.98,3373,1.4,1506,3.13,1392564.81,29477.81,0,0,8.41
Captação de Leads - Instagram,Social Media,Instagram Ads,2023-05-06,2023-05-25,9596.25,42251,358917,11.77,12958,0.74,2637,3.64,546201.45,5591.82,0,28,12.77
Black Friday - Google,Copywriting,Google Ads,2024-07-26,2024-08-03,4431.77,2953,94850,3.11,809,5.48,98,45.22,135875.42,2965.94,0,0,10.39
Captação de Leads - Facebook,Design,Facebook Ads,2025-03-11,2025-04-29,3833.43,37960,206368,18.39,16465,0.23,5703,0.67,11029931.36,287630.08,0,0,14.14
Campanha de Engajamento - Instagram,Copywriting,Instagram Ads,2024-01-28,2024-03-04,7108.24,10819,67806,15.96,1263,5.63,746,9.53,1184161.07,16558.99,0,0,0.55
Remarketing - TikTok,Copywriting,TikTok Ads,2024-03-17,2024-04-29,3655.78,50241,346242,14.51,16561,0.22,10850,0.34,18864908.5,515929.64,0,0,2.99
Campanha de Engajamento - Google,Design,Google Ads,2024-12-11,2025-01-24,3469.72,27849,234562,11.87,9685,0.36,5302,0.65,4001887.93,115237.49,0,0,13.18
Captação de Leads - WhatsApp,Design,WhatsApp,2024-05-23,2024-06-26,3513.62,30370,160723,18.9,3439,1.02,2185,1.61,2358247.42,67017.32,0,0,14.52
Promoção Verão - Facebook,Automações,Facebook Ads,2023-11-25,2023-12-03,3969.74,55431,315460,17.57,7456,0.53,5150,0.77,7158953.29,180238.09,39,0,0.0
Lançamento Produto - Instagram,Social Media,Instagram Ads,2024-02-05,2024-02-17,853.01,5573,163095,3.42,2717,0.31,2087,0.41,1846615.84,216382.32,0,12,0.94
Campanha de Engajamento - WhatsApp,Tráfego Pago,WhatsApp,2023-05-18,2023-05-25,2966.56,4827,432241,1.12,2260,1.31,1317,2.25,66450.7,2139.99,0,0,0.0
Lançamento Produto - Google,Tráfego Pago,Google Ads,2023-05-02,2023-06-27,1709.68,85191,434540,19.6,41792,0.04,16531,0.1,22320697.02,1305448.23,0,0,0.0
Natal Antecipado - Instagram,Social Media,Instagram Ads,2024-03-09,2024-05-02,6775.45,42577,441142,9.65,11068,0.61,5905,1.15,7635853.89,112598.84,0,16,9.96
Promoção Verão - WhatsApp,Social Media,WhatsApp,2023-01-23,2023-03-14,1986.7,28056,355361,7.9,5039,0.39,3275,0.61,3515757.36,176864.68,0,28,3.79
Anúncio Institucional - Email,Copywriting,Email Marketing,2024-12-31,2025-01-20,4929.7,76520,442366,17.3,16757,0.29,4477,1.1,8125677.28,164731.07,0,0,1.55
Black Friday - Facebook,Tráfego Pago,Facebook Ads,2025-04-17,2025-04-25,8828.74,32174,254335,12.65,13004,0.68,8814,1.0,12213403.67,138236.88,0,0,0.0
Anúncio Institucional - Email,Social Media,Email Marketing,2023-11-30,2023-12-25,5818.52,13080,176224,7.42,1703,3.42,1419,4.1,2555184.1,43814.67,0,7,14.7
Anúncio Institucional - TikTok,Copywriting,TikTok Ads,2023-10-07,2023-11-09,1939.29,25470,470169,5.42,4253,0.46,1068,1.82,1806609.46,93058.29,0,0,14.67
Campanha de Engajamento - Instagram,Copywriting,Instagram Ads,2023-05-06,2023-06-08,705.9,69084,448838,15.39,19417,0.04,4201,0.17,1982099.7,280690.44,0,0,14.41
Remarketing - Email,Social Media,Email Marketing,2023-06-01,2023-06-10,3480.53,3990,59460,6.71,1789,1.95,1425,2.44,1164476.28,33356.87,0,23,6.0
Lançamento Produto - WhatsApp,Social Media,WhatsApp,2024-02-18,2024-03-22,2641.46,50534,253420,19.94,2000,1.32,209,12.64,389499.26,14645.61,0,9,0.69
Campanha de Engajamento - Email,Copywriting,Email Marketing,2024-11-27,2025-01-05,9038.2,875,160001,0.55,126,71.73,65,139.05,42343.57,368.5,0,0,5.91
Promoção Verão - Email,Design,Email Marketing,2024-10-09,2024-11-13,3517.72,10069,431535,2.33,3673,0.96,1192,2.95,1524692.27,43243.2,0,0,0.28
Lançamento Produto - Facebook,Copywriting,Facebook Ads,2023-05-02,2023-06-21,8032.7,1899,9736,19.5,89,90.26,20,401.63,18607.76,131.65,0,0,0.45
Black Friday - TikTok,Tráfego Pago,TikTok Ads,2024-01-01,2024-01-09,3407.61,22361,154527,14.47,9003,0.38,7428,0.46,3689687.31,108177.86,0,0,0.0
Campanha de Conversão - TikTok,Copywriting,TikTok Ads,2024-07-16,2024-08-12,6758.58,13512,72591,18.61,3782,1.79,2297,2.94,1748751.84,25774.55,0,0,14.64
Remarketing - WhatsApp,Copywriting,WhatsApp,2023-08-04,2023-09-03,2910.46,9464,246002,3.85,4544,0.64,2703,1.08,1433572.92,49155.89,0,0,14.68
Remarketing - Facebook,Tráfego Pago,Facebook Ads,2024-05-09,2024-06-13,4561.5,1167,7955,14.67,214,21.32,64,71.27,106786.25,2241.03,0,0,0.0
Promoção Relâmpago - Email,Copywriting,Email Marketing,2024-07-12,2024-08-06,6347.69,11112,148092,7.5,5056,1.26,1934,3.28,1475975.69,23152.17,0,0,1.06
Promoção Relâmpago - Email,Automações,Email Marketing,2023-09-09,2023-09-28,4637.43,203,46764,0.43,41,113.11,28,165.62,23176.88,399.78,19,0,0.0
Natal Antecipado - Email,Design,Email Marketing,2024-10-28,2024-11-27,6580.93,4551,103745,4.39,1849,3.56,1779,3.7,775017.63,11676.72,0,0,1.73
Campanha de Conversão - Google,Tráfego Pago,Google Ads,2024-07-11,2024-08-30,8807.35,34778,310189,11.21,16496,0.53,3458,2.55,3975067.84,45033.53,0,0,0.0
Campanha de Conversão - Instagram,Automações,Instagram Ads,2024-01-09,2024-02-19,8323.74,8868,302879,2.93,2686,3.1,850,9.79,840429.14,9996.77,40,0,0.0
Promoção Verão - Instagram,Social Media,Instagram Ads,2024-12-24,2025-02-20,7884.63,959,93928,1.02,80,98.56,71,111.05,72641.54,821.31,0,0,10.81
Promoção Relâmpago - Google,Tráfego Pago,Google Ads,2023-10-07,2023-11-29,1072.74,16815,333075,5.05,7987,0.13,5328,0.2,5006082.78,466563.2,0,0,0.0
Black Friday - Google,Tráfego Pago,Google Ads,2025-04-23,2025-05-05,8168.41,29378,325118,9.04,5545,1.47,2307,3.54,4388909.34,53630.28,0,0,0.0
Remarketing - Facebook,Social Media,Facebook Ads,2023-06-19,2023-08-11,6070.27,9122,57835,15.77,1192,5.09,661,9.18,566130.78,9226.29,0,1,13.32
Remarketing - TikTok,Copywriting,TikTok Ads,2024-03-01,2024-04-22,7687.24,13985,131227,10.66,3431,2.24,3078,2.5,513495.34,6579.84,0,0,6.98
Campanha de Engajamento - Instagram,Copywriting,Instagram Ads,2025-06-01,2025-06-09,1541.02,43528,440098,9.89,2458,0.63,249,6.19,157151.54,10097.89,0,0,1.92
Anúncio Institucional - WhatsApp,Design,WhatsApp,2023-11-12,2023-12-20,2598.81,6905,71524,9.65,1885,1.38,1413,1.84,2010002.23,77243.18,0,0,10.3
Natal Antecipado - Instagram,Tráfego Pago,Instagram Ads,2025-02-13,2025-04-03,5253.65,47096,256663,18.35,13771,0.38,1686,3.12,200927.1,3724.52,0,0,0.0
Lançamento Produto - Facebook,Automações,Facebook Ads,2023-06-15,2023-07-19,2416.06,3126,21812,14.33,94,25.7,1,2416.06,1845.77,-23.6,35,0,0.0
Lançamento Produto - Facebook,Automações,Facebook Ads,2025-04-22,2025-06-16,9312.57,37203,325004,11.45,10350,0.9,2166,4.3,3202818.06,34292.42,6,0,0.0
Black Friday - TikTok,Automações,TikTok Ads,2025-01-25,2025-02-18,9550.05,26386,258519,10.21,7110,1.34,2862,3.34,1290593.87,13414.0,15,0,0.0
Black Friday - Google,Automações,Google Ads,2023-02-06,2023-03-01,4864.28,3803,126235,3.01,1379,3.53,55,88.44,46163.82,849.04,39,0,0.0
Promoção Verão - Google,Social Media,Google Ads,2023-07-28,2023-09-09,2816.89,2539,88505,2.87,684,4.12,430,6.55,708050.8,25035.91,0,0,10.99
Promoção Relâmpago - Instagram,Design,Instagram Ads,2024-02-15,2024-02-29,1881.19,90450,468817,19.29,8265,0.23,3452,0.54,6716021.09,356909.19,0,0,10.26
Black Friday - Facebook,Automações,Facebook Ads,2025-02-20,2025-03-05,5876.12,31282,385394,8.12,7493,0.78,7391,0.8,6268530.38,106578.05,29,0,0.0
Black Friday - Email,Copywriting,Email Marketing,2023-06-18,2023-07-29,2888.0,55573,401255,13.85,18,160.44,18,160.44,4672.92,61.8,0,0,6.94
Anúncio Institucional - WhatsApp,Design,WhatsApp,2024-10-18,2024-11-25,9234.17,33203,333696,9.95,1303,7.09,764,12.09,1474727.62,15870.33,0,0,9.56
Anúncio Institucional - TikTok,Design,TikTok Ads,2023-01-05,2023-02-11,7689.9,57026,461479,12.36,4605,1.67,951,8.09,785322.55,10112.39,0,0,9.69
Campanha de Conversão - Facebook,Copywriting,Facebook Ads,2024-07-04,2024-08-28,6991.75,34551,381325,9.06,1344,5.2,313,22.34,612833.25,8665.09,0,0,0.53
Anúncio Institucional - TikTok,Social Media,TikTok Ads,2025-05-16,2025-07-01,1255.26,2137,10869,19.66,540,2.32,270,4.65,87854.55,6898.91,0,24,1.79
Remarketing - Facebook,Social Media,Facebook Ads,2025-05-17,2025-07-15,6363.49,45496,489388,9.3,1543,4.12,290,21.94,66032.31,937.67,0,16,3.11
Promoção Verão - Email,Tráfego Pago,Email Marketing,2025-04-27,2025-06-10,9418.94,57787,491966,11.75,16848,0.56,6486,1.45,1629519.04,17200.45,0,0,0.0
Natal Antecipado - Instagram,Social Media,Instagram Ads,2024-09-12,2024-11-02,6707.19,10497,309115,3.4,3789,1.77,2953,2.27,5704877.13,84956.14,0,0,7.16
Remarketing - Instagram,Design,Instagram Ads,2023-05-15,2023-06-23,6117.32,41410,485909,8.52,20039,0.31,10775,0.57,4790050.68,78203.09,0,0,2.46
